date,deepSleepTime,shallowSleepTime,wakeTime,start,stop,REMTime,naps
2019-09-24,0,0,0,2019-09-22 21:00:00+0000,2019-09-22 21:00:00+0000,0,
2019-09-25,96,378,0,2019-09-24 22:10:00+0000,2019-09-25 06:04:00+0000,0,
2019-09-26,103,370,3,2019-09-25 22:26:00+0000,2019-09-26 06:22:00+0000,0,
2019-09-27,111,318,0,2019-09-26 21:56:00+0000,2019-09-27 05:05:00+0000,0,
2019-09-28,148,283,0,2019-09-27 21:29:00+0000,2019-09-28 04:40:00+0000,0,
2019-09-29,156,339,0,2019-09-28 21:59:00+0000,2019-09-29 06:14:00+0000,0,
2019-09-30,167,331,3,2019-09-29 22:07:00+0000,2019-09-30 06:28:00+0000,0,
2019-10-01,175,317,11,2019-09-30 22:33:00+0000,2019-10-01 06:56:00+0000,0,
2019-10-02,34,125,0,2019-10-02 00:08:00+0000,2019-10-02 02:47:00+0000,0,
2019-10-03,165,367,0,2019-10-02 22:12:00+0000,2019-10-03 07:04:00+0000,0,
2019-10-04,85,359,4,2019-10-03 23:08:00+0000,2019-10-04 06:36:00+0000,0,
2019-10-05,105,280,3,2019-10-04 22:49:00+0000,2019-10-05 05:17:00+0000,0,
2019-10-06,137,352,6,2019-10-05 22:50:00+0000,2019-10-06 07:05:00+0000,0,
2019-10-07,142,251,3,2019-10-06 21:21:00+0000,2019-10-07 03:57:00+0000,0,
2019-10-08,136,216,2,2019-10-07 22:45:00+0000,2019-10-08 04:39:00+0000,0,
2019-10-09,127,336,0,2019-10-08 20:44:00+0000,2019-10-09 04:27:00+0000,0,
2019-10-10,129,277,12,2019-10-09 22:54:00+0000,2019-10-10 05:52:00+0000,0,
2019-10-11,162,347,14,2019-10-10 21:28:00+0000,2019-10-11 06:11:00+0000,0,
2019-10-12,157,337,15,2019-10-11 21:28:00+0000,2019-10-12 05:57:00+0000,0,
2019-10-13,168,410,11,2019-10-12 20:21:00+0000,2019-10-13 06:10:00+0000,0,
2019-10-14,213,389,12,2019-10-13 19:39:00+0000,2019-10-14 05:53:00+0000,0,
2019-10-15,103,228,0,2019-10-14 21:44:00+0000,2019-10-15 03:15:00+0000,0,
2019-10-16,113,410,14,2019-10-15 21:25:00+0000,2019-10-16 06:22:00+0000,0,
2019-10-17,103,413,24,2019-10-16 21:53:00+0000,2019-10-17 06:53:00+0000,0,
2019-10-18,131,216,0,2019-10-17 21:24:00+0000,2019-10-18 03:11:00+0000,0,
2019-10-19,130,354,9,2019-10-18 21:38:00+0000,2019-10-19 05:51:00+0000,0,
2019-10-20,179,283,0,2019-10-19 21:36:00+0000,2019-10-20 05:18:00+0000,0,
2019-10-21,196,391,0,2019-10-20 20:22:00+0000,2019-10-21 06:09:00+0000,0,
2019-10-22,109,411,0,2019-10-21 21:11:00+0000,2019-10-22 05:51:00+0000,0,
2019-10-23,191,415,0,2019-10-22 19:36:00+0000,2019-10-23 05:42:00+0000,0,
2019-10-24,115,339,0,2019-10-23 22:58:00+0000,2019-10-24 06:32:00+0000,0,
2019-10-25,115,413,13,2019-10-24 20:04:00+0000,2019-10-25 05:05:00+0000,0,
